ts,side,outcome,R
2023-06-27 10:10:00-04:00,short,stop,-1.0350856088849782
2023-06-29 10:20:00-04:00,long,target,1.9751243781119272
2023-07-05 10:45:00-04:00,short,target,1.9809451219526737
2023-07-06 10:30:00-04:00,long,stop,-1.0825471698074225
2023-07-07 10:20:00-04:00,short,stop,-1.055537924466659
2023-07-10 10:05:00-04:00,long,target,1.9847653869600999
2023-07-11 09:45:00-04:00,short,stop,-1.0350084020157837
2023-07-13 10:40:00-04:00,long,target,1.9909779862868646
2023-07-17 09:45:00-04:00,short,stop,-1.0525683388389144
2023-07-18 10:30:00-04:00,short,stop,-1.0855327468188907
2023-07-19 09:50:00-04:00,short,target,1.9821835803889547
2023-07-24 10:15:00-04:00,long,timeout,
2023-07-25 10:30:00-04:00,short,stop,-1.0744680851032127
2023-07-26 09:45:00-04:00,long,target,1.9755381604720603
2023-07-27 10:10:00-04:00,short,target,1.9946305841925551
2023-07-31 10:10:00-04:00,long,timeout,
2023-08-01 10:30:00-04:00,long,timeout,
2023-08-03 09:50:00-04:00,long,stop,-1.0253476245651023
2023-08-04 09:45:00-04:00,short,target,1.9922672440460172
2023-08-07 09:45:00-04:00,short,stop,-1.0454781704769864
2023-08-10 10:40:00-04:00,short,target,1.9961603440332336
2023-08-11 10:05:00-04:00,long,stop,-1.036618539442631
2023-08-14 09:40:00-04:00,long,target,1.993221258134674
2023-08-16 10:30:00-04:00,short,target,1.991364421416533
2023-08-17 10:50:00-04:00,long,stop,-1.061468212150985
2023-08-21 10:15:00-04:00,short,target,1.9907482791802698
2023-08-22 09:40:00-04:00,short,target,1.991930277598711
2023-08-24 09:40:00-04:00,short,target,1.9869927159215937
2023-08-25 09:35:00-04:00,long,target,1.9790444258190252
2023-08-30 10:35:00-04:00,long,timeout,
2023-08-31 10:50:00-04:00,short,target,1.9795951681374815
2023-09-01 09:40:00-04:00,short,target,1.99500199920042
2023-09-04 10:05:00-04:00,short,target,1.9794913863839645
2023-09-05 10:10:00-04:00,long,target,1.9902950310562777
2023-09-07 10:15:00-04:00,long,target,1.9918804806758075
2023-09-08 10:35:00-04:00,short,target,1.9893617021281125
2023-09-11 09:40:00-04:00,short,stop,-1.0399999999990852
2023-09-13 10:25:00-04:00,long,target,1.9924288310117377
2023-09-14 09:55:00-04:00,short,stop,-1.0482492417962999
2023-09-18 09:45:00-04:00,short,target,1.9797734627848067
2023-09-19 10:20:00-04:00,long,stop,-1.072433774831438
2023-09-21 10:10:00-04:00,long,target,1.9858276643998978
2023-09-22 09:40:00-04:00,short,stop,-1.1242015613822374
2023-09-25 09:40:00-04:00,long,target,1.994444444444568
2023-09-26 10:30:00-04:00,long,stop,-1.0579086697532132
